2023-12-18 23:12:830 INFO  HomePage :27 - Enter username [[ChromeDriver: chrome on windows (d055a4d99bd221821c288f60694ce583)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[1]/div[1]/div[2]/input[1]]
2023-12-18 23:12:401 INFO  HomePage :34 - Enter password [[ChromeDriver: chrome on windows (d055a4d99bd221821c288f60694ce583)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[2]/div[1]/div[2]/input[1]]
2023-12-18 23:12:666 INFO  HomePage :40 - Click On login Button [[ChromeDriver: chrome on windows (d055a4d99bd221821c288f60694ce583)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[3]/button[1]]
2023-12-18 23:12:705 INFO  HomePage :27 - Enter username [[ChromeDriver: chrome on windows (dcb11cc5fd69f2b7d6e69145820bae1d)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[1]/div[1]/div[2]/input[1]]
2023-12-18 23:12:483 INFO  HomePage :34 - Enter password [[ChromeDriver: chrome on windows (dcb11cc5fd69f2b7d6e69145820bae1d)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[2]/div[1]/div[2]/input[1]]
2023-12-18 23:12:722 INFO  HomePage :40 - Click On login Button [[ChromeDriver: chrome on windows (dcb11cc5fd69f2b7d6e69145820bae1d)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[3]/button[1]]
2023-12-18 23:12:471 INFO  DashboardPage :28 - Enter Profile Photo [[ChromeDriver: chrome on windows (dcb11cc5fd69f2b7d6e69145820bae1d)] -> xpath: (//img[@class='oxd-userdropdown-img'])[1]]
2023-12-18 23:12:983 INFO  DashboardPage :32 - Click On logout [[ChromeDriver: chrome on windows (dcb11cc5fd69f2b7d6e69145820bae1d)] -> xpath: (//a[normalize-space()='Logout'])[1]]
2023-12-18 23:12:454 INFO  DashboardPage :36 - Getting loginpanel [[ChromeDriver: chrome on windows (dcb11cc5fd69f2b7d6e69145820bae1d)] -> xpath: (//h5[normalize-space()='Login'])[1]]
2023-12-19 00:12:472 INFO  HomePage :27 - Enter username [[ChromeDriver: chrome on windows (ec53bd7d9642b450794e711505e3791f)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[1]/div[1]/div[2]/input[1]]
2023-12-19 00:12:835 INFO  HomePage :34 - Enter password [[ChromeDriver: chrome on windows (ec53bd7d9642b450794e711505e3791f)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[2]/div[1]/div[2]/input[1]]
2023-12-19 00:12:260 INFO  HomePage :40 - Click On login Button [[ChromeDriver: chrome on windows (ec53bd7d9642b450794e711505e3791f)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[3]/button[1]]
2023-12-19 00:12:268 INFO  HomePage :27 - Enter username [[ChromeDriver: chrome on windows (5521982dd3f855e38b8eb5554ce117b7)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[1]/div[1]/div[2]/input[1]]
2023-12-19 00:12:547 INFO  HomePage :34 - Enter password [[ChromeDriver: chrome on windows (5521982dd3f855e38b8eb5554ce117b7)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[2]/div[1]/div[2]/input[1]]
2023-12-19 00:12:991 INFO  HomePage :40 - Click On login Button [[ChromeDriver: chrome on windows (5521982dd3f855e38b8eb5554ce117b7)] -> xpath: /html[1]/body[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/form[1]/div[3]/button[1]]
2023-12-19 00:12:616 INFO  DashboardPage :28 - Enter Profile Photo [[ChromeDriver: chrome on windows (5521982dd3f855e38b8eb5554ce117b7)] -> xpath: (//img[@class='oxd-userdropdown-img'])[1]]
2023-12-19 00:12:132 INFO  DashboardPage :32 - Click On logout [[ChromeDriver: chrome on windows (5521982dd3f855e38b8eb5554ce117b7)] -> xpath: (//a[normalize-space()='Logout'])[1]]
2023-12-19 00:12:434 INFO  DashboardPage :36 - Getting loginpanel [[ChromeDriver: chrome on windows (5521982dd3f855e38b8eb5554ce117b7)] -> xpath: (//h5[normalize-space()='Login'])[1]]
